IdActor,Nume,Gen,DataNasterii,Nationalitate
1,Seo Kang Joon,m,12-10-93,coreeana
2,Lee Na Young,f,22-02-79,coreeana
3,Lee Jong Suk,m,14-09-89,coreeana
4,Jung Jessica,f ,18-04-89,americana
5,Jung Krystal,f,24-10-94,americana
6,Park Hae Soo,m,21-11-81,coreeana
7,Manoban Lalisa,f,27-03-97,thailandeza
8,Hirai Momo,f,09-11-96,japoneza
9,Zhou Tzu Yu,f,14-06-99,taiwaneza
10,Song Joong Ki,m,19-09-85,coreeana
11,Kim Ji Won,f,19-10-92,coreeana
12,Jang Dong Gun,m,07-03-72,coreeana
13,Kim Sang Joong,m,06-10-65,coreeana
14,Lee Min Ho,m,22-06-87,coreeana
