No.,Show,Categorie,Nominalizari,Premiera
1,Pororo the Little Penguin,Animatie,Castigat,03-02-20
2,Rainbow Ruby,Animatie,Nici un premiu,02-09-18
3,I can see your voice ,Divertisment,Nici un premiu,12-12-19
4,Runnnig Man,Divertisment,Nici un premiu,12-13-19
5,The Masked Singer,Divertisment,Nici un premiu,12-12-19
6,The Return of Superman,Divertisment,Nici un premiu,05-05-19
7,Documentary of AKB48: The Time Has Come,Documentary,Castigat,01-19-19
8,Documentary of Namie Amuro ,Documentary,Nominalizat,01-27-20
9,Stratosphere: The Documentary,Documentary,Castigat,10-07-19
10,Gangnam Beauty,Documentary,Castigat,10-07-19
11,Burning ,Film,Nominalizat,02-07-20
12,Playing with fire,Film,Castigat,02-21-19
13,The King and the Clown,Film,Castigat,02-02-19
14,A frozen flower,Film,Castigat,04-23-19
15,Love Rain,Film,Castigat,04-12-19
16,Arirang News Center,News,Nici un premiu,12-21-19
17,Remember:The War of the Son,Serial,Nominalizat,05-01-20
18,I miss you,Serial,Nominalizat,01-05-19
19,Watcher ,Serial,Castigat,03-19-19
20,Choco Bank,Serial,Castigat,11-13-19
21,Fashion King,Serial,Castigat,03-08-20
22,Defendant,Serial,Castigat,05-19-18
23,Arthdal Chronicles Part 1: The Children of Prophecy,Serial,Nominalizat,06-29-19
24,49 Days,Serial,Nominalizat,02-24-20
25,Chosun Police,Serial,Castigat,05-05-19
26,Hwarang,Serial,Nominalizat,01-21-20
27,I'm not a robot,Serial,Nominalizat,11-03-20
28,Miss Hamurabi,Serial,Nominalizat,03-02-19
29,Nice Witch ,Serial,Castigat,10-07-19
30,Market,Teleshoping,Nici un premiu,05-03-19
